Title,Star_Rating,Address,Phone,Website,Email,Regular_Hours,Payment_Method,Price_Range,Neighborhoods,Other_Links,Categories
The Cork Bar and Grill,3,"4771 W Adams Blvd
Los Angeles, CA 90016",(323) 731-2030,https://www.facebook.com/Cork-Bar-and-Grill-Restaurant-100871486624515,Arthur.Gordon@thecorkliquor.com,"Regular Hours
Mon - Sun:	
12:00 pm - 2:00 am","Mastercard, Visa, Amex, All Major Credit Cards, Discover",$$,"West Adams, South LA","https://www.facebook.com/Cork-Bar-and-Grill-Restaurant-100871486624515

https://corkboards.com","American Restaurants, Bar & Grills, Barbecue Restaurants, Pizza, Restaurants"
Post & Beam,0,"3767 Santa Rosalia Dr
Los Angeles, CA 90008",(323) 299-5599,http://www.postandbeamla.com/,brad@postandbeamla.com,"Regular Hours
Tue - Thu:	
11:30 am - 10:00 pm

Fri - Sat:	
11:30 am - 11:00 pm

Sun:	
11:00 am - 9:00 pm","Visa, All Major Credit Cards, Mastercard, Amex, Discover",$$,"Crenshaw, South LA, Congress West","http://www.postandbeamla.com

https://postandbeamla.com","American Restaurants, Breakfast, Brunch & Lunch Restaurants, Family Style Restaurants, Pizza, Restaurants, Soul Food Restaurants"
Stevens Steak & Seafood House,5,"5332 Stevens Pl
Commerce, CA 90040",(323) 406-1440,http://www.stevenssteakhouse.com/,,"Regular Hours
Mon - Fri:	
4:00 am - 8:00 pm","Amex, Debit, Discover, Visa, Mastercard",$$,Commerce,"http://www.stevenssteakhouse.com

http://www.sshpresents.com","Restaurants, Banquet Halls & Reception Facilities, Barbecue Restaurants, Bars, Caterers, Concert Halls, Family Style Restaurants, Italian Restaurants, Liquor Stores, Mediterranean Restaurants, Meeting & Event Planning Services, Sandwich Shops, Seafood Restaurants, Sports Bars, Steak Houses, Take Out Restaurants, Theatres, Wedding Chapels & Ceremonies, Wedding Supplies & Services, Wine, Wine Bars"
Cantalinis Salerno Beach Restaurant,4.5,"193 Culver Blvd
Playa Del Rey, CA 90293",(310) 821-0018,http://www.ordercantalinissalernobeach.com/,catering@cantalinis.com,"Regular Hours
Mon - Thu:	
11:30 am - 10:00 pm

Fri:	
11:30 am - 10:30 pm

Sat:	
11:00 am - 10:30 pm

Sun:	
11:00 am - 10:00 pm","Travelers Checks, Debit, Cash, Amex, Discover, Visa, Mastercard",$$,"Playa del Rey, Westchester-Playa Del Rey, West Los Angeles","http://www.ordercantalinissalernobeach.com

http://www.salernobeach.com","Restaurants, Caterers, Food Delivery Service, Italian Restaurants, Pizza, Seafood Restaurants"
Lares Restaurant,4,"2909 Pico Blvd
Santa Monica, CA 90405",(310) 829-4559,http://www.laresrestaurant.com/,laresrest@aol.com,"Regular Hours
Mon:	
8:00 am - 12:00 am
12:00 am - 1:00 am

Tue:	
12:00 am - 1:00 am
8:00 am - 1:00 am

Wed - Sat:	
8:00 am - 1:00 am

Sun:	
8:00 am - 12:00 am","Discover, Amex, Visa, Master Card, Diners Club",$$,"West Los Angeles, Pico",http://www.laresrestaurant.com,"Restaurants, Caterers, Fast Food Restaurants, Mexican Restaurants, Take Out Restaurants"
Tamayo,0,"5300 E Olympic Blvd
Los Angeles, CA 90022",(323) 260-4700,http://www.tamayo-la.com/,info@tamayo-la.com,"Regular Hours
Mon - Thu:	
10:30 am - 9:00 pm

Fri:	
10:30 am - 10:00 pm

Sat:	
5:00 pm - 10:00 pm

Sun	Closed","Visa, Mastercard, All Major Credit Cards, Discover, Amex",$$,East Los Angeles,"http://www.tamayo-la.com

https://telacu.com/contact-us

https://la-tamayo.com","Latin American Restaurants, Banquet Halls & Reception Facilities, Caterers, Family Style Restaurants, Mexican Restaurants, Restaurants, Spanish Restaurants"
Veggie Grill,5,"8000 W Sunset Blvd
Los Angeles, CA 90046",(323) 822-7575,http://www.veggiegrill.com/,,"Regular Hours
Mon - Sun:	
11:00 am - 11:00 pm","All Major Credit Cards, Visa, Mastercard, Discover, Amex",$$,"Central LA, Hollywood Hills West","http://www.veggiegrill.com

https://www.veggiegrill.com","Vegetarian Restaurants, Breakfast, Brunch & Lunch Restaurants, Family Style Restaurants, Restaurants"
Pastina Restaurant,4.5,"2260 Westwood Blvd
Los Angeles, CA 90064",(310) 441-4655,http://www.pastina.net/,Pastinafood@aol.com,"Regular Hours
Mon - Thu:	
5:30 pm - 10:00 pm

Fri - Sat:	
11:30 am - 10:30 pm

Sun	Closed","All Major Credit Cards, Amex, Cash, Debit, Discover, Master Card, Visa",$$,"West Los Angeles, Westside","http://www.pastina.net

https://www.pastina.net","Italian Restaurants, Bar & Grills, Caterers, Family Style Restaurants, Pizza, Restaurants, Seafood Restaurants"
Corner Bakery Cafe,3.5,"1019 Westwood Blvd
Los Angeles, CA 90024",(310) 824-1314,http://www.cornerbakerycafe.com/,rogers@cornerbakery.com,"Regular Hours
Mon - Fri:	
7:00 am - 9:00 pm

Sat - Sun:	
8:00 am - 8:00 pm","Cash, Master Card, Visa, Check, Discover, Amex",$$,"Westwood Village, West Los Angeles, Westwood","http://www.cornerbakerycafe.com

http://cornerbakery.com

https://cornerbakerycafe.com/location/westwood","Sandwich Shops, American Restaurants, Breakfast, Brunch & Lunch Restaurants, Coffee & Espresso Restaurants, Coffee & Tea, Coffee Shops, Restaurants"
Fish Grill,5,"9618 W Pico Blvd
Los Angeles, CA 90035",(310) 860-1182,http://fishgrill.com/,info@fishgrill.com,"Regular Hours
Mon - Thu:	
11:00 am - 9:00 pm

Fri:	
11:00 am - 2:30 pm

Sun:	
11:00 am - 9:00 pm","Discover, Mastercard, Amex, Visa, All Major Credit Cards",$$,"South Robertson, West Los Angeles","http://fishgrill.com

https://fishgrill.com/locations","Seafood Restaurants, Bar & Grills, Caterers, Restaurants"
The Good Pizza,5,"7929 Emerson Ave
Los Angeles, CA 90045",(310) 215-1883,http://thegoodpizza.com/,,"Regular Hours
Mon - Thu:	
7:00 am - 9:00 pm

Fri:	
7:00 am - 10:00 pm

Sat:	
8:00 am - 10:00 pm

Sun:	
8:00 am - 9:00 pm","Visa, Mastercard",$$,"Westchester, West Los Angeles, Westchester-Playa Del Rey","http://thegoodpizza.com

https://thegoodpizza.com/contact-us","Pizza, Caterers, Italian Restaurants, Restaurants"
Berri's Pizza Cafe,,"8412 W 3rd St
Los Angeles, CA 90048",(323) 852-0642,http://www.berriscafeonthird.com/,,"Regular Hours
Mon - Sun:	
10:00 am - 4:00 am","All Major Credit Cards, Cash, Debit, Visa",$$,"Central LA, Mid-City West",http://www.berriscafeonthird.com,"Italian Restaurants, Pizza, Restaurants"
"The Stand ""American Classics Redefined""",0,"2000 Avenue Of The Stars
Los Angeles, CA 90067",(310) 785-0400,https://www.thestand.com/?y_source=1_MTI2NDE5MzktNTUzLWxvY2F0aW9uLndlYnNpdGU%3D,,"Regular Hours
Mon - Fri:	
8:00 am - 4:00 pm","Amex, Master Card, Visa, Cash, Discover",$$,"Century City, West Los Angeles, Westside","website

Reservations

Menu

Ordering","Mexican Restaurants, American Restaurants, Barbecue Restaurants, Caterers, Delicatessens, Greek Restaurants, Hamburgers & Hot Dogs, Mediterranean Restaurants, Restaurants"
Renaissance Restaurant,0,"5930 Franklin Ave
Los Angeles, CA 90028",(323) 960-3100,http://renaissancerestaurant.org/,renaissancerestaurant@celebritycentre.org,"Regular Hours
Mon:	
8:00 am - 9:30 pm

Tue:	
5:30 pm - 9:30 pm

Wed - Sat:	
8:00 am - 9:30 pm

Sun:	
10:30 am - 2:30 pm",All Major Credit Cards,$$,"Central LA, Hollywood United",http://renaissancerestaurant.org,"Breakfast, Brunch & Lunch Restaurants, American Restaurants, Restaurants, Steak Houses"
El Asador Restaurant,3.5,"1225 Venice Blvd
Los Angeles, CA 90006",(213) 387-8220,,genisys.its@gmail.com,"Regular Hours
Mon - Sun:	
10:00 am - 10:00 pm","All Major Credit Cards, Amex, Diners Club, Discover, Master Card, Visa",$$,"Pico Union, Central LA",,"Latin American Restaurants, Caterers, Family Style Restaurants, Mexican Restaurants, Restaurants"
Khan Shabu Shabu,0,"210 N Western Ave Ste 103
Los Angeles, CA 90004",(323) 465-6688,https://www.facebook.com/pages/category/Japanese-Restaurant/Khan-Shabu-Shabu-139059789450413,hello@la-eats.com,"Regular Hours
Mon - Sat:	
11:00 am - 8:00 am

Sun:	
5:00 pm - 10:00 pm","All Major Credit Cards, Mastercard, Discover, Visa, Amex",$$,"Central LA, Greater Wilshire, Wilshire Center - Koreatown",https://www.facebook.com/pages/category/Japanese-Restaurant/Khan-Shabu-Shabu-139059789450413,"Japanese Restaurants, Asian Restaurants, Korean Restaurants, Restaurants"
The Hart and the Hunter,0,"7950 Melrose Ave
Los Angeles, CA 90046",(323) 424-3055,http://www.thehartandthehunter.com/,hartandthehunter@gmail.com,"Regular Hours
Tue - Thu:	
7:00 am - 10:00 pm

Fri - Sat:	
7:00 am - 11:00 pm

Sun:	
8:00 am - 9:00 pm","Amex, Mastercard, Visa, Discover, All Major Credit Cards",$$,"Central LA, Mid-City West",http://www.thehartandthehunter.com,"American Restaurants, Caterers, Fine Dining Restaurants, Restaurants"
Soleil Westwood,4.5,"1386 Westwood Blvd
Los Angeles, CA 90024",(310) 441-5384,http://www.sheratonpasadena.com/Dining,soleilwestwood@yahoo.com,"Regular Hours
Tue - Fri:	
2:30 pm - 10:00 pm

Sat - Sun:	
10:00 am - 10:00 pm","Discover, All Major Credit Cards",$$,"Westwood, West Los Angeles","http://www.sheratonpasadena.com/Dining

http://www.soleilwestwood.com

https://www.soleilwestwood.com","American Restaurants, French Restaurants, Restaurants"
Desert Rose Restaurant,5,"1700 Hillhurst Ave
Los Angeles, CA 90027",(323) 666-1166,http://www.desertroserestaurant.com/,ziad@desertroserestaurant.com,"Regular Hours
Mon:	
11:00 am - 10:00 pm

Tue - Thu:	
11:00 am - 10:30 pm

Fri:	
11:00 am - 11:30 pm

Sat:	
9:00 am - 11:30 pm

Sun:	
9:00 am - 10:00 pm",All Major Credit Cards,$$,"Los Feliz, Central LA, Greater Griffith Park","http://www.desertroserestaurant.com

https://www.desertroserestaurant.com","Health Food Restaurants, Family Style Restaurants, Restaurants"
Louise's Trattoria,4.5,"232 N Larchmont Blvd
Los Angeles, CA 90004",(323) 962-9510,http://www.louises.com/,rserritella@louises.com,"Regular Hours
Mon - Fri:	
11:00 am - 10:00 pm

Sat:	
11:00 am - 10:30 pm

Sun:	
12:00 pm - 9:30 pm","All Major Credit Cards, Amex, Diners Club, Master Card, Discover, Visa",$$,"Windsor Square, Greater Wilshire, Central LA",http://www.louises.com,"Italian Restaurants, Caterers, Restaurants"
Roscoe's House of Chicken and Waffles,4,"1514 N Gower St
Los Angeles, CA 90028",(323) 466-7453,http://www.roscoeschickenandwaffles.com/,,"Regular Hours
Mon - Sun:	
8:30 am - 1:00 am","Visa, All Major Credit Cards, Amex, Discover, Master Card",$$,"Central LA, Hollywood Studio District","http://www.roscoeschickenandwaffles.com

https://www.roscoeschickenandwaffles.com","American Restaurants, Breakfast, Brunch & Lunch Restaurants, Family Style Restaurants, Pizza, Restaurants"
Fred 62,3.5,"1850 N Vermont Ave
Los Angeles, CA 90027",(323) 667-0062,http://www.fred62.com/,info@fred62.com,"Regular Hours
Mon - Sun:	
Open 24 Hours",,$$,"Greater Griffith Park, Central LA, Los Feliz","http://www.fred62.com

https://www.fred62.com","Coffee Shops, American Restaurants, Hamburgers & Hot Dogs, Health Food Restaurants, Restaurants, Sandwich Shops, Vegan Restaurants"
Taix French Restaurant,4,"1911 W Sunset Blvd
Los Angeles, CA 90026",(213) 484-1265,http://www.taixfrench.com/,info@taixfrench.com,"Regular Hours
Mon - Thu:	
11:30 am - 10:00 pm

Fri:	
11:30 am - 11:00 pm

Sat:	
12:00 pm - 11:00 pm

Sun:	
12:00 pm - 10:00 pm",All Major Credit Cards,$$,"East LA, Greater Echo Park Elysian",http://www.taixfrench.com,"French Restaurants, Caterers, Cocktail Lounges, Continental Restaurants, Family Style Restaurants, Restaurants"
Casa Sanchez,4,"4500 S Centinela Ave
Los Angeles, CA 90066",(310) 397-9999,http://www.casa-sanchez.com/,info@casasanchezla.com,"Regular Hours
Mon - Wed:	
5:00 pm - 10:00 pm

Thu:	
5:00 pm - 11:00 pm

Fri - Sat:	
5:00 pm - 12:00 am

Sun:	
4:00 pm - 11:00 pm",Discover,$$,"West Los Angeles, Marina del Rey","http://www.casa-sanchez.com

http://www.casa-sanchez.com/contact","Restaurants, Caterers, Family Style Restaurants, Latin American Restaurants, Mexican Restaurants"
